,district,locality,latitude,longitude,id,zip_code,property_sub_type,property_type,price,nb_bedrooms,living_area,surface_of_the_plot,nb_facades,state_of_building,fireplace,equipped_kitchen,garden,garden_surface,terrace,terrace_surface,furnished,swimming_pool
3191,Bruxelles,MOLENBEEK-SAINT-JEAN,50.8579148,4.3059444,20328429,1080,Apartment,APARTMENT,199000,2,80,,,As new,0,0,0,,0,,0,0
3192,Ostende,Oostende,51.2167488,2.8801134,20342936,8400,Flat_Studio,APARTMENT,169000,,,,,,0,0,0,,0,,0,0
3193,Anvers,HOBOKEN,51.1850919,4.3687345,20299753,2660,Apartment,APARTMENT,189000,2,84,,,,0,0,0,,0,,0,0
3194,Gand,Deinze,50.9796067,3.5316623,20297087,9800,Apartment,APARTMENT,199000,2,88,,,,0,0,0,,0,,0,0
3195,Namur,Namur,50.4630398,4.8526846,20301052,5000,Apartment,APARTMENT,149000,1,46,,,Good,0,0,0,,0,,0,0
3196,Mons,Havré,50.4608583,4.0475271,20353801,7021,Apartment,APARTMENT,99000,1,60,,4,To be done up,0,1,0,,0,,0,0
3197,Anvers,BOOM,51.08653469999999,4.3639731,20288567,2850,Flat_Studio,APARTMENT,125000,1,46,,2,Just renovated,0,0,0,,0,,0,0
3198,Ostende,Oostende,51.2197626,2.8878466,11405858,8400,Flat_Studio,APARTMENT,125000,,38,,2,To renovate,0,0,0,,0,,0,0
3199,Furnes,De Panne,51.09888489999999,2.5819042,20098285,8660,Apartment,APARTMENT,129000,1,48,,,To be done up,0,0,0,,0,,1,0
3200,Anvers,Antwerpen,51.200287,4.4157662,20160440,2018,Kot,APARTMENT,135000,1,21,,3,Good,0,0,0,,0,,0,0
3201,Anvers,Antwerpen,51.2172446,4.4285626,20203422,2018,Flat_Studio,APARTMENT,139000,,32,,,Good,0,0,0,,0,,0,0
3202,Liège,Seraing,50.61573809999999,5.4997221,20231291,4101,Apartment,APARTMENT,139000,2,80,,,Good,0,1,0,,1,7,0,0
3203,Furnes,De Panne,51.0994774,2.5959965,11446025,8660,Apartment,APARTMENT,139000,,67,,,To be done up,0,0,0,,0,,0,0
3204,Ostende,MIDDELKERKE,51.1881212,2.8198687,20231095,8430,Flat_Studio,APARTMENT,144000,,44,,,Good,0,0,0,,0,,0,0
3205,Ostende,Oostende,51.2128779,2.9098038,20208652,8400,Apartment,APARTMENT,149000,2,75,,,To renovate,0,0,0,,0,,0,0
3206,Liège,Liège,50.64017940000001,5.588265,11159940,4020,Apartment,APARTMENT,155000,2,80,,,Good,0,0,0,,1,3,0,0
3207,Hasselt,SINT-TRUIDEN,50.8160093,5.178726,11391041,3800,Apartment,APARTMENT,160000,2,72,,2,To be done up,0,0,0,,0,,0,0
3208,Verviers,Verviers,50.5801848,5.8644607,20197507,4800,Apartment,APARTMENT,160000,2,96,,2,Good,0,0,0,,1,5,0,0
3209,Liège,Liège,50.6340748,5.5698249,20060538,4000,Apartment,APARTMENT,170000,1,75,,,Good,0,1,0,,0,,0,0
3210,Malines,SINT-KATELIJNE-WAVER,51.0702424,4.531321,20183627,2860,Apartment,APARTMENT,175000,1,65,,,Good,0,0,0,,1,7,0,0
3211,Gand,Gent,51.0547987,3.7429331,20270133,9000,Apartment,APARTMENT,179000,2,87,,,To be done up,0,1,0,,0,,0,0
3212,Liège,Ans,50.6619977,5.5158002,20270955,4430,Apartment,APARTMENT,179900,2,90,,2,Good,0,1,0,,1,10,0,0
3213,Courtrai,Desselgem,50.886534,3.349359,11311490,8792,Apartment,APARTMENT,185000,3,107,,,Good,0,0,0,,0,,0,0
3214,Anvers,DEURNE,51.22085149999999,4.459707,20245897,2100,Apartment,APARTMENT,189000,2,89,,,,0,1,0,,0,,0,0
3215,Bruxelles,Bruxelles,50.8792412,4.3430002,10858130,1020,Apartment,APARTMENT,195000,1,68,,2,Good,0,1,0,,1,4,0,0
3216,Malines,Bornem,51.0905467,4.2287507,9531001,2880,Apartment,APARTMENT,199000,1,62,,,As new,0,0,0,,0,,0,0
3217,Louvain,Leuven,50.8820839,4.712943099999999,20242679,3000,Flat_Studio,APARTMENT,199000,1,23,,,Good,0,1,0,,1,5,1,0
3218,Ostende,Oostende,51.2203013,2.8888203,20326121,8400,Flat_Studio,APARTMENT,115000,,44,,2,To renovate,0,0,0,,1,2,0,0
3219,Liège,LIÈGE,50.6377756,5.554948899999999,20308154,4000,Apartment,APARTMENT,159000,2,85,,2,Good,0,1,0,,0,,0,0
3220,Charleroi,CHÂTELET,50.4033007,4.5208312,20324403,6200,Apartment,APARTMENT,115000,2,116,,3,,0,0,0,,0,,0,0
3221,Anvers,ANTWERPEN,51.2342015,4.4692348,20301461,2100,Apartment,APARTMENT,179000,2,78,,2,,0,1,0,,1,6,0,0
3222,Anvers,Antwerpen Merksem,51.2384409,4.4399233,20365544,2170,Apartment,APARTMENT,175000,2,63,,2,Good,0,0,0,,0,,0,0
3223,Furnes,Koksijde,51.11644099999999,2.6390704,20234073,8670,Flat_Studio,APARTMENT,59500,,39,,4,To be done up,0,0,0,,0,,1,0
3224,Liège,Liège,50.6302263,5.5890014,20312814,4030,Apartment,APARTMENT,85000,1,71,,2,To be done up,0,1,0,,0,,0,0
3225,Alost,Aalst,50.9422842,4.045652599999999,20330284,9300,Apartment,APARTMENT,155000,1,53,,,Good,0,0,0,,0,,0,0
3226,Furnes,Koksijde,51.1147703,2.6383483,20325837,8670,Apartment,APARTMENT,171000,1,63,,2,Good,0,1,0,,1,3,1,0
3227,Bruxelles,Etterbeek,50.8379133,4.393047399999999,20292209,1040,Flat_Studio,APARTMENT,199000,,35,,,As new,0,1,0,,0,,1,0
3228,Bruxelles,Etterbeek,50.8379133,4.393047399999999,20292210,1040,Flat_Studio,APARTMENT,199000,,35,,,As new,0,1,0,,0,,1,0
3229,Charleroi,Fontaine-l'Eveque,50.41070759999999,4.3230938,20338170,6140,Apartment,APARTMENT,125000,2,,,,Good,0,1,0,,0,,0,0
3230,Bruxelles,Brussel,50.8590236,4.3510765,20361263,1000,Flat_Studio,APARTMENT,115000,,33,,1,To be done up,0,0,0,,1,10,0,0
3231,Huy,Amay,50.5473134,5.317033299999999,20334041,4540,Apartment,APARTMENT,145000,1,83,,2,Just renovated,0,0,0,,0,,0,0
3232,Anvers,Boechout,51.1687464,4.4993672,20349732,2530,Apartment,APARTMENT,167000,3,,,2,To renovate,0,0,0,,1,2,0,0
3233,Turnhout,Gierle,51.2685138,4.8669709,20353669,2275,Apartment,APARTMENT,199000,2,91,,,Good,0,0,0,,0,,0,0
3234,Liège,Visé,50.7436241,5.6866789,20133593,4600,Apartment,APARTMENT,50000,1,54,,4,Good,1,0,0,,0,,0,0
3235,Verviers,Heusy,50.5830624,5.8879006,11409198,4802,Apartment,APARTMENT,85000,1,41,,2,To be done up,0,0,0,,0,,0,0
3236,Ostende,Middelkerke,51.1738213,2.7854359,11044743,8430,Flat_Studio,APARTMENT,85000,,21,,,Good,0,0,0,,1,6,1,0
3237,Tournai,Péruwelz,50.4979391,3.609137099999999,11118335,7603,Apartment,APARTMENT,89000,1,48,,2,Just renovated,0,1,0,,0,,0,0
3238,Namur,Namur,50.4614753,4.8445806,20255665,5000,Flat_Studio,APARTMENT,90000,,23,,,Good,0,0,0,,0,,0,0
3239,Liège,Liège,50.6440126,5.577752299999999,20275155,4000,Apartment,APARTMENT,95000,1,50,,,Good,0,1,0,,0,,0,0
3240,Namur,Namur,50.4614753,4.8445806,20255661,5000,Flat_Studio,APARTMENT,95000,,24,,,Good,0,0,0,,0,,0,0
3241,Nivelles,WAVRE,50.7122568,4.6115319,20109187,1300,Duplex,APARTMENT,99000,1,42,,2,To renovate,0,0,0,,0,,0,0
3242,Charleroi,Marcinelle,50.4048588,4.4282495,20240082,6001,Apartment,APARTMENT,100000,2,80,,,Just renovated,0,0,0,,0,,0,0
3243,Namur,NAMUR,50.46800409999999,4.869581699999999,20105043,5000,Flat_Studio,APARTMENT,105000,,24,,,Just renovated,0,0,0,,0,,1,0
3244,Namur,Namur,50.4614753,4.8445806,20255663,5000,Apartment,APARTMENT,110000,1,40,,,Good,0,0,0,,0,,0,0
3245,Ostende,Oostende,51.2127031,2.8822633,11448510,8400,Apartment,APARTMENT,120000,1,56,,,As new,0,0,0,,0,,0,0
3246,Charleroi,Charleroi,50.3999761,4.445702,20145314,6001,Apartment,APARTMENT,125000,2,80,,2,As new,0,1,0,,1,6,0,0
3247,Verviers,Malmedy,50.43028289999999,6.040164,11402858,4960,Triplex,APARTMENT,130000,3,72,,3,Good,0,1,0,,1,10,1,0
3248,Louvain,Heverlee,50.8685291,4.667898099999999,20179936,3001,Service_Flat,APARTMENT,135000,1,55,,,,0,1,0,,1,4,0,0
3249,Liège,LIÈGE,50.6297577,5.586971699999999,20168661,4020,Apartment,APARTMENT,139500,2,82,,2,Good,0,0,0,,0,,0,0
3250,Verviers,Dison,50.6060425,5.858947,11178006,4820,Apartment,APARTMENT,145000,1,64,,2,Good,0,1,1,28,1,30,1,0
3251,Hasselt,HASSELT,50.9169172,5.3422939,20053342,3500,Apartment,APARTMENT,149000,1,47,,4,To be done up,0,1,0,,0,,0,0
3252,Bruges,Blankenberge,51.31170789999999,3.1256063,20261695,8370,Apartment,APARTMENT,149000,1,48,,,Good,0,0,0,,0,,0,0
3253,Furnes,De Panne,51.1045179,2.5943188,20117646,8660,Apartment,APARTMENT,155000,1,45,,,Just renovated,0,0,0,,0,,1,0
3254,Hasselt,SINT-TRUIDEN,50.8163008,5.1813335,20239718,3800,Apartment,APARTMENT,157500,2,73,,,To be done up,0,0,0,,0,,0,0
3255,Anvers,Antwerpen,51.25418990000001,4.4534211,20153781,2170,Apartment,APARTMENT,159000,1,66,,2,Just renovated,0,1,0,,0,,0,0
3256,Louvain,Keerbergen,51.0043451,4.6308905,11114638,3140,Apartment,APARTMENT,169000,1,54,,,To be done up,0,0,0,,0,,0,0
3257,Anvers,DEURNE,51.2328953,4.4606766,20214196,2100,Apartment,APARTMENT,175000,2,92,,4,,0,0,0,,0,,0,0
3258,Ostende,Oostende,51.2140182,2.9068488,20237752,8400,Apartment,APARTMENT,175000,1,69,,,Good,0,0,0,,0,,0,0
3259,Ostende,Oostende,51.2140182,2.9068488,20187080,8400,Apartment,APARTMENT,175000,1,69,,,Good,0,0,0,,0,,0,0
3260,Bruxelles,Sint-Jans-Molenbeek,50.8578166,4.3109021,20238350,1080,Apartment,APARTMENT,179000,3,87,,,To renovate,0,1,0,,1,8,0,0
3261,Bruxelles,Jette,50.8749675,4.3388612,20044193,1090,Apartment,APARTMENT,179000,2,75,,3,To be done up,0,1,0,,0,,0,0
