Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
460000,8450,HOUSE,VILLA,GOOD,3,184.0,0,1.0,0.0,600.0,4.0,0.0,0.0,Bredene,Other
179000,2100,APARTMENT,APARTMENT,TO_BE_DONE_UP,3,89.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
750000,1040,APARTMENT,TRIPLEX,JUST_RENOVATED,3,133.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Bruxelles,Brussels Capital
289000,9000,HOUSE,HOUSE,GOOD,2,58.0,0,0.0,0.0,30.0,2.0,0.0,0.0,Gent,East Flanders
420000,2950,HOUSE,HOUSE,GOOD,3,150.0,0,0.0,1.0,120.0,3.0,0.0,0.0,Kapellen,Antwerp
259900,2170,APARTMENT,APARTMENT,GOOD,2,105.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp
169000,1755,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,85.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Gooik,Flemish Brabant
285000,1030,APARTMENT,APARTMENT,GOOD,2,84.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Schaerbeek,Brussels Capital
485000,1090,APARTMENT,DUPLEX,AS_NEW,2,143.0,1,1.0,0.0,0.0,3.0,0.0,0.0,Jette,Brussels Capital
395000,2560,HOUSE,HOUSE,JUST_RENOVATED,3,160.0,1,1.0,1.0,351.0,4.0,0.0,0.0,Nijlen,Antwerp
228000,6030,HOUSE,HOUSE,GOOD,3,154.0,0,1.0,1.0,465.0,3.0,0.0,0.0,Charleroi,Hainaut
399000,2960,HOUSE,HOUSE,GOOD,4,174.0,0,0.0,0.0,342.0,3.0,0.0,0.0,Brecht,Antwerp
390000,9420,HOUSE,HOUSE,GOOD,3,147.0,1,0.0,0.0,222.0,2.0,0.0,0.0,Erpe-Mere,East Flanders
795000,8370,APARTMENT,APARTMENT,GOOD,3,144.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,Other
79000,6042,HOUSE,HOUSE,TO_RENOVATE,3,160.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Charleroi,Hainaut
325000,1000,APARTMENT,APARTMENT,JUST_RENOVATED,1,53.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital
549000,8300,APARTMENT,PENTHOUSE,GOOD,1,61.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,Other
499000,9000,HOUSE,HOUSE,GOOD,3,157.0,0,0.0,1.0,156.0,3.0,0.0,0.0,Gent,East Flanders
148500,8670,APARTMENT,APARTMENT,GOOD,1,39.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Koksijde,Other
360000,9800,APARTMENT,APARTMENT,GOOD,2,89.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Deinze,East Flanders
179000,1370,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,97.0,0,1.0,1.0,0.0,2.0,0.0,0.0,Jodoigne,Walloon Brabant
